STOP_ID,TRF_DISTRICT_CODE,BAY_CODE,BEARING_CODE,ON_STREET_NAME,INTERSECTION_LOC,HASTUS_CROSS_STREET_NAME,KCM_MANAGED_EQUIPMENT,ROUTE_LIST,NUM_SHELTERS,STOP_STATUS,GISOBJID,lon,lat,is_hotspot,compactor,has_trash,notes
3500,SC,,N,14th Ave S,Near side,S Hill St,YES,36 60,1,ACT,362,-122.3145827,47.58450688,FALSE,FALSE,FALSE,
3515,SC,,N,14th Ave S,Far side,S Holgate St,YES,36 60,1,ACT,363,-122.3145653,47.58660281,FALSE,FALSE,FALSE,
3530,SC,,W,S Massachusetts St,Far side,14th Ave S,YES,36 60,1,ACT,364,-122.3152071,47.58850535,FALSE,FALSE,FALSE,
3541,SC,,N,12th Ave S,Far side,S Massachusetts St,YES,36 60,1,ACT,365,-122.3171761,47.58876046,FALSE,FALSE,FALSE,
3550,SC,,N,12th Ave S,Far side,S Atlantic St,YES,36 60,1,ACT,366,-122.317178,47.59024907,FALSE,FALSE,FALSE,
3570,SC,,N,12th Ave S,Far middle,S Judkins St,YES,36 60,1,ACT,367,-122.3171795,47.5927174,FALSE,FALSE,FALSE,
3580,SC,,E,S Charles St,Near side,Golf Dr S,YES,36 60,1,ACT,368,-122.3167296,47.59414252,FALSE,FALSE,FALSE,
3589,SC,,N,12th Ave S,Near side,S Weller St,YES,36 60,1,ACT,100001400,-122.3171258,47.59737703,FALSE,FALSE,FALSE,
3600,SC,,W,S Jackson St,Far side,12th Ave S,YES,1 106 14N 36 7,1,ACT,370,-122.3177351,47.59926682,FALSE,FALSE,FALSE,
3700,SC,,S,12th Ave S,Far side,S Jackson St,YES,36 60,1,ACT,371,-122.3173204,47.59865501,FALSE,FALSE,FALSE,
3710,SC,,S,12th Ave S,Far side,S Weller St,YES,36 60,1,ACT,372,-122.3173305,47.59730334,FALSE,FALSE,FALSE,
3735,SC,,S,14th Ave S,Far side,Golf Dr S,UNK,36 60,1,ACT,100016452,-122.3149332,47.59226792,FALSE,FALSE,FALSE,
3760,SC,,S,14th Ave S,Far side,S Massachusetts St,YES,36 60,1,ACT,376,-122.314963,47.58818936,FALSE,FALSE,FALSE,
3810,SC,,S,Beacon Ave S,Far side,S Lander St,YES,107 36 60,1,ACT,380,-122.3121012,47.57904585,FALSE,FALSE,FALSE,
3881,SC,,S,Beacon Ave S,Near side,VA Hospital AcRd,YES,36,1,ACT,388,-122.3056391,47.56333307,FALSE,FALSE,FALSE,
3910,CB,,E,W McGraw St,Far side,2nd Ave W,YES,13 4,1,ACT,393,-122.3591872,47.63951483,FALSE,FALSE,FALSE,
3930,CB,,E,Boston St,Far side,Queen Anne Ave N,YES,4,1,ACT,395,-122.3565394,47.63831912,FALSE,FALSE,FALSE,
3940,CB,,E,Boston St,Near side,Warren Ave N,YES,4,1,ACT,396,-122.3544951,47.63819701,FALSE,FALSE,FALSE,
3960,CB,,E,Boston St,Near side,Bigelow Ave N,YES,4,1,ACT,398,-122.3484093,47.63818548,FALSE,FALSE,FALSE,
3980,CB,,S,5th Ave N,Far side,Newton St,YES,4,1,ACT,400,-122.3472268,47.6363084,FALSE,FALSE,FALSE,
3990,CB,,S,Taylor Ave N,Far side,5th Ave N,YES,4,1,ACT,401,-122.3475221,47.63460661,FALSE,FALSE,FALSE,
4000,CB,,S,Taylor Ave N,Opposite to,Garfield St,YES,4,1,ACT,402,-122.3460558,47.63314953,FALSE,FALSE,FALSE,
4010,CB,,S,Taylor Ave N,Far side,Lee St,YES,4,1,ACT,403,-122.3463693,47.6310968,FALSE,FALSE,FALSE,
4040,CB,,S,5th Ave N,Far side,Valley St,YES,4,2,ACT,406,-122.3476509,47.62593628,FALSE,FALSE,FALSE,
4050,CB,,S,5th Ave N,Near side,Republican St,YES,4,1,ACT,407,-122.3476684,47.62361054,FALSE,FALSE,FALSE,
4070,CB,,S,5th Ave N,Near side,Broad St,YES,4,2,ACT,408,-122.3477023,47.62129061,FALSE,FALSE,FALSE,
4230,CB,,N,5th Ave N,Far side,Republican St,YES,4,1,ACT,413,-122.3474651,47.62359378,FALSE,FALSE,FALSE,
4245,CB,,E,Valley St,Near side,Taylor Ave N,YES,4,1,ACT,414,-122.3466203,47.62619978,FALSE,FALSE,FALSE,
5350,NS,,E,N 85th St,Far side,Fremont Ave N,YES,45 61,1,ACT,447,-122.3496062,47.69050945,FALSE,FALSE,FALSE,
5370,NS,,E,N 85th St,Near side,Aurora Ave N,YES,45 61,1,ACT,449,-122.3447242,47.69049012,FALSE,FALSE,FALSE,
5380,NS,,E,N 85th St,Far side,Stone Ave N,YES,45 61,1,ACT,450,-122.3415032,47.6904711,FALSE,FALSE,FALSE,
5400,NS,,E,N 85th St,Near side,Wallingford Ave N,YES,45,1,ACT,451,-122.3366048,47.69044505,FALSE,FALSE,FALSE,
5419,NS,,N,I-5 Ramp,Far side,NE 45th St,YES,,1,ACT,455,-122.320802,47.66161193,FALSE,FALSE,FALSE,
5450,NS,,W,N 85th St,Near side,Aurora Ave N,YES,45 61,1,ACT,459,-122.3441555,47.69062516,FALSE,FALSE,FALSE,
5470,NS,,W,N 85th St,Far side,Fremont Ave N,YES,45 61,1,ACT,461,-122.35026,47.69064854,FALSE,FALSE,FALSE,
5492,NL,,N,Shoreline CC AcRd,Far side,N Innis Arden Way,YES,5,1,ACT,466,-122.3578632,47.74700246,FALSE,FALSE,FALSE,
5493,NL,,W,Shoreline CC AcRd,Far side,Shoreline CC AcRd,YES,331 333,1,ACT,467,-122.3586481,47.74714991,FALSE,FALSE,FALSE,
5502,NL,,E,N Innis Arden Way,Near side,Greenwood Ave N,YES,331N 333 5,1,ACT,468,-122.3560197,47.74527877,FALSE,FALSE,FALSE,
5550,NS,,S,Greenwood Ave N,Far side,N 145th St,YES,345 5,1,ACT,469,-122.3556703,47.73378179,FALSE,FALSE,FALSE,
5560,NS,,S,Greenwood Ave N,Far side,N 143rd St,YES,345 5,1,ACT,470,-122.3556598,47.73203883,FALSE,FALSE,FALSE,
5580,NS,,S,Greenwood Ave N,Far side,N 137th St,YES,345 5,1,ACT,472,-122.3556479,47.72844421,FALSE,FALSE,FALSE,
5590,NS,,S,Greenwood Ave N,Opposite to,N 134th St,YES,345 5,1,ACT,473,-122.3556537,47.72642601,FALSE,FALSE,FALSE,
5610,NS,,S,Greenwood Ave N,Far side,N 130th St,YES,5,1,ACT,474,-122.3556537,47.72295847,FALSE,FALSE,FALSE,
5630,NS,,S,Greenwood Ave N,Near side,N 125th St,YES,5,1,ACT,475,-122.3556387,47.71967565,FALSE,FALSE,FALSE,
5660,NS,,S,Greenwood Ave N,Far side,N 117th St,YES,5,1,ACT,477,-122.3556155,47.71375677,FALSE,FALSE,FALSE,
5690,NS,,S,Greenwood Ave N,Far side,N 110th St,YES,5,1,ACT,479,-122.3555774,47.70843585,FALSE,FALSE,FALSE,
5710,NS,,S,Greenwood Ave N,Far side,Holman Rd N,YES,5,1,ACT,480,-122.3555399,47.70452349,FALSE,FALSE,FALSE,
5730,NS,,S,Greenwood Ave N,Far side,N 100th St,YES,5,1,ACT,481,-122.3555103,47.70115916,FALSE,FALSE,FALSE,
5740,NS,,S,Greenwood Ave N,Far side,N 97th St,YES,5,1,ACT,482,-122.3554987,47.69937536,FALSE,FALSE,FALSE,
5765,NS,,S,Greenwood Ave N,Far side,N 92nd St,YES,5,1,ACT,100012130,-122.3554713,47.69580891,FALSE,FALSE,FALSE,
5770,NS,,S,Greenwood Ave N,Near side,N 90th St,YES,5,1,ACT,484,-122.3554425,47.6942702,FALSE,FALSE,FALSE,
5771,NS,,S,Greenwood Ave N,Near side,N 87th St,YES,5,1,ACT,485,-122.3554247,47.69255503,FALSE,FALSE,FALSE,
5790,NS,,S,Greenwood Ave N,Far side,N 85th St,YES,5,1,ACT,486,-122.3554003,47.69033295,FALSE,FALSE,FALSE,
5810,NS,,S,Greenwood Ave N,Far side,N 80th St,YES,5,1,ACT,487,-122.3553996,47.68670801,FALSE,FALSE,FALSE,
5840,NS,,S,Greenwood Ave N,Far side,N 74th St,YES,5,1,ACT,490,-122.3554046,47.68230152,FALSE,FALSE,FALSE,
5860,NS,,S,Greenwood Ave N,Far side,N 70th St,YES,5,1,ACT,491,-122.3554145,47.67931259,FALSE,FALSE,FALSE,
5880,NS,,S,Phinney Ave N,Far side,N 65th St,YES,5,1,ACT,493,-122.3544519,47.67569555,FALSE,FALSE,FALSE,
5930,NS,,S,Phinney Ave N,Near side,N 55th St,YES,5,1,ACT,496,-122.3545088,47.66848575,FALSE,FALSE,FALSE,
5940,NS,,S,Phinney Ave N,Far side,N 54th St,YES,5,1,ACT,497,-122.3545207,47.6675045,FALSE,FALSE,FALSE,
5980,NS,,S,Phinney Ave N,Far side,N 46th St,YES,5,1,ACT,499,-122.3540838,47.66186698,FALSE,FALSE,FALSE,
6000,NS,,E,N 43rd St,Far side,Phinney Ave N,YES,5,1,ACT,501,-122.3539399,47.65889271,FALSE,FALSE,FALSE,
6020,NS,,E,N 43rd St,Near side,Fremont Ave N,YES,5,1,ACT,502,-122.3502586,47.65888586,FALSE,FALSE,FALSE,
6030,NS,,S,Fremont Ave N,Far side,N 41st St,YES,5,1,ACT,503,-122.3500447,47.65642473,FALSE,FALSE,FALSE,
6070,CB,,S,Aurora Ave N,Far side,Lynn St,YES,28E 5 E,1,ACT,507,-122.3455944,47.63890814,FALSE,FALSE,FALSE,
6080,CB,,S,Aurora Ave N,Far side,Crockett St,YES,5,1,ACT,509,-122.3441079,47.63675592,FALSE,FALSE,FALSE,
6100,CB,,S,Aurora Ave N,Far side,Galer St,YES,28E 5 E,1,ACT,510,-122.3436664,47.63217137,FALSE,FALSE,FALSE,
6176,CB,,S,7th Ave N,Near side,Thomas St,UNK,28E 5 E,2,ACT,100015942,-122.3438386,47.62105871,FALSE,FALSE,FALSE,
6220,CB,,N,7th Ave,Far side,Blanchard St,YES,62,1,ACT,516,-122.3403838,47.61688126,FALSE,FALSE,FALSE,
6236,CB,,N,7th Ave N,Far side,Denny Way,UNK,28E 5 E,2,ACT,100015941,-122.3434486,47.6190825,FALSE,FALSE,FALSE,
6237,CB,,N,7th Ave N,Near side,Harrison St,UNK,28E 5 E,2,ACT,100015940,-122.3434939,47.6218974,FALSE,FALSE,FALSE,
6240,CB,,N,Dexter Ave N,Far side,Denny Way,YES,62,1,ACT,518,-122.3422968,47.61893957,FALSE,FALSE,FALSE,
6300,CB,,N,Aurora Ave N,Far side,Galer St,YES,28E 5 E,1,ACT,523,-122.3433172,47.63257908,FALSE,FALSE,FALSE,
6320,CB,,N,Aurora Ave N,Near side,Lynn St,YES,28E 5 E,1,ACT,525,-122.3452,47.638878,FALSE,FALSE,FALSE,
6340,NS,,N,Aurora Ramp,Near side,N 38th St,YES,28E 5,1,ACT,527,-122.346614,47.65247388,FALSE,FALSE,FALSE,
6360,NS,,N,Fremont Ave N,Far side,N 39th St,YES,5,1,ACT,528,-122.3498071,47.6543999,FALSE,FALSE,FALSE,
6440,NS,,N,Phinney Ave N,Far side,N 46th St,YES,5,1,ACT,533,-122.3538765,47.66241458,FALSE,FALSE,FALSE,
6490,NS,,N,Phinney Ave N,Near side,N 55th St,YES,5,1,ACT,536,-122.3543058,47.66834725,FALSE,FALSE,FALSE,
6670,NS,,N,Greenwood Ave N,Far side,N 92nd St,YES,5,1,ACT,552,-122.3552702,47.69629062,FALSE,FALSE,FALSE,
6685,NS,,N,Greenwood Ave N,Near side,N 97th St,YES,5,1,ACT,553,-122.3552978,47.70000679,FALSE,FALSE,FALSE,
6950,NS,,S,Aurora Ave N,Far side,N 145th St,YES,E,1,ACT,569,-122.345259,47.73356683,FALSE,FALSE,FALSE,
6990,NS,,S,Aurora Ave N,Far side,N 135th St,YES,E,2,ACT,570,-122.345104,47.72643172,FALSE,FALSE,FALSE,
7000,NS,,S,Aurora Ave N,Far side,N 130th St,YES,E,2,ACT,571,-122.3450721,47.72296405,FALSE,FALSE,FALSE,
7010,NS,,S,Aurora Ave N,Near side,N 125th St,YES,E,1,ACT,572,-122.3450398,47.71990056,FALSE,FALSE,FALSE,
7040,NS,,S,Aurora Ave N,Far side,N 115th St,YES,E,1,ACT,573,-122.3449107,47.71197623,FALSE,FALSE,FALSE,
7080,NS,,S,Aurora Ave N,Far side,N 105th St,YES,E,1,ACT,575,-122.3448515,47.70463775,FALSE,FALSE,FALSE,
